Round 0: src_acc=0.934815, tgt_acc=0.924444, best_tgt=0.924444
Round 1: src_acc=0.968148, tgt_acc=0.957778, best_tgt=0.957778
Round 2: src_acc=0.941667, tgt_acc=0.934815, best_tgt=0.957778
Round 3: src_acc=0.975370, tgt_acc=0.953333, best_tgt=0.957778
Round 4: src_acc=0.985926, tgt_acc=0.951111, best_tgt=0.957778
Round 5: src_acc=0.980185, tgt_acc=0.950370, best_tgt=0.957778
Round 6: src_acc=0.981296, tgt_acc=0.956296, best_tgt=0.957778
Round 7: src_acc=0.994815, tgt_acc=0.965926, best_tgt=0.965926
Round 8: src_acc=0.992037, tgt_acc=0.953333, best_tgt=0.965926
Round 9: src_acc=0.997222, tgt_acc=0.957037, best_tgt=0.965926
Round 10: src_acc=0.998889, tgt_acc=0.967407, best_tgt=0.967407
Round 11: src_acc=0.999630, tgt_acc=0.966667, best_tgt=0.967407
Round 12: src_acc=0.999815, tgt_acc=0.971852, best_tgt=0.971852
Round 13: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.972593
Round 14: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.974074
Round 15: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.974074
Round 16: src_acc=1.000000, tgt_acc=0.970370, best_tgt=0.974074
Round 17: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.974074
Round 18: src_acc=1.000000, tgt_acc=0.971111, best_tgt=0.974074
Round 19: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.974074
Round 20: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.975556
Round 21: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.975556
Round 22: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.975556
Round 23: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.975556
Round 24: src_acc=1.000000, tgt_acc=0.976296, best_tgt=0.976296
Round 25: src_acc=1.000000, tgt_acc=0.975556, best_tgt=0.976296
Round 26: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
Round 27: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.976296
Round 28: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.976296
Round 29: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.976296
Round 30: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.976296
Round 31: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.976296
Round 32: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.976296
Round 33: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
Round 34: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
Round 35: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.976296
Round 36: src_acc=1.000000, tgt_acc=0.972593, best_tgt=0.976296
Round 37: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.976296
Round 38: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.976296
Round 39: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
Round 40: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.976296
Round 41: src_acc=1.000000, tgt_acc=0.971852, best_tgt=0.976296
Round 42: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.976296
Round 43: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.976296
Round 44: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.976296
Round 45: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
Round 46: src_acc=1.000000, tgt_acc=0.974815, best_tgt=0.976296
Round 47: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
Round 48: src_acc=1.000000, tgt_acc=0.974074, best_tgt=0.976296
Round 49: src_acc=1.000000, tgt_acc=0.973333, best_tgt=0.976296
