Round 0: src_acc=0.817882, tgt_acc=0.616667, best_tgt=0.616667
Round 1: src_acc=0.948438, tgt_acc=0.625000, best_tgt=0.625000
Round 2: src_acc=0.975347, tgt_acc=0.654167, best_tgt=0.654167
Round 3: src_acc=0.987847, tgt_acc=0.693750, best_tgt=0.693750
Round 4: src_acc=0.992188, tgt_acc=0.704167, best_tgt=0.704167
Round 5: src_acc=0.979861, tgt_acc=0.679167, best_tgt=0.704167
Round 6: src_acc=0.986458, tgt_acc=0.718750, best_tgt=0.718750
Round 7: src_acc=0.984375, tgt_acc=0.700000, best_tgt=0.718750
Round 8: src_acc=0.992708, tgt_acc=0.747917, best_tgt=0.747917
Round 9: src_acc=0.985764, tgt_acc=0.700000, best_tgt=0.747917
Round 10: src_acc=1.000000, tgt_acc=0.725000, best_tgt=0.747917
Round 11: src_acc=1.000000, tgt_acc=0.722917, best_tgt=0.747917
Round 12: src_acc=1.000000, tgt_acc=0.710417, best_tgt=0.747917
Round 13: src_acc=1.000000, tgt_acc=0.729167, best_tgt=0.747917
Round 14: src_acc=1.000000, tgt_acc=0.722917, best_tgt=0.747917
Round 15: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.747917
Round 16: src_acc=1.000000, tgt_acc=0.739583, best_tgt=0.747917
Round 17: src_acc=1.000000, tgt_acc=0.750000, best_tgt=0.750000
Round 18: src_acc=1.000000, tgt_acc=0.735417, best_tgt=0.750000
Round 19: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.750000
Round 20: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.750000
Round 21: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.750000
Round 22: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.750000
Round 23: src_acc=1.000000, tgt_acc=0.737500, best_tgt=0.750000
Round 24: src_acc=1.000000, tgt_acc=0.731250, best_tgt=0.750000
Round 25: src_acc=1.000000, tgt_acc=0.733333, best_tgt=0.750000
Round 26: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.750000
Round 27: src_acc=1.000000, tgt_acc=0.733333, best_tgt=0.750000
Round 28: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.750000
Round 29: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.750000
Round 30: src_acc=1.000000, tgt_acc=0.741667, best_tgt=0.750000
Round 31: src_acc=1.000000, tgt_acc=0.735417, best_tgt=0.750000
Round 32: src_acc=1.000000, tgt_acc=0.739583, best_tgt=0.750000
Round 33: src_acc=1.000000, tgt_acc=0.729167, best_tgt=0.750000
Round 34: src_acc=1.000000, tgt_acc=0.739583, best_tgt=0.750000
Round 35: src_acc=1.000000, tgt_acc=0.739583, best_tgt=0.750000
Round 36: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.750000
Round 37: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.750000
Round 38: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.750000
Round 39: src_acc=1.000000, tgt_acc=0.756250, best_tgt=0.756250
Round 40: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.756250
Round 41: src_acc=1.000000, tgt_acc=0.745833, best_tgt=0.756250
Round 42: src_acc=1.000000, tgt_acc=0.733333, best_tgt=0.756250
Round 43: src_acc=1.000000, tgt_acc=0.747917, best_tgt=0.756250
Round 44: src_acc=1.000000, tgt_acc=0.754167, best_tgt=0.756250
Round 45: src_acc=1.000000, tgt_acc=0.739583, best_tgt=0.756250
Round 46: src_acc=1.000000, tgt_acc=0.737500, best_tgt=0.756250
Round 47: src_acc=1.000000, tgt_acc=0.739583, best_tgt=0.756250
Round 48: src_acc=1.000000, tgt_acc=0.725000, best_tgt=0.756250
Round 49: src_acc=1.000000, tgt_acc=0.743750, best_tgt=0.756250
